Timestamp,PlaybackTime,VideoFrame,FaceIsValid,Brow_Lowerer_L,Brow_Lowerer_R,Cheek_Puff_L,Cheek_Puff_R,Cheek_Raiser_L,Cheek_Raiser_R,Cheek_Suck_L,Cheek_Suck_R,Chin_Raiser_B,Chin_Raiser_T,Dimpler_L,Dimpler_R,Eyes_Closed_L,Eyes_Closed_R,Eyes_Look_Down_L,Eyes_Look_Down_R,Eyes_Look_Left_L,Eyes_Look_Left_R,Eyes_Look_Right_L,Eyes_Look_Right_R,Eyes_Look_Up_L,Eyes_Look_Up_R,Inner_Brow_Raiser_L,Inner_Brow_Raiser_R,Jaw_Drop,Jaw_Sideways_Left,Jaw_Sideways_Right,Jaw_Thrust,Lid_Tightener_L,Lid_Tightener_R,Lip_Corner_Depressor_L,Lip_Corner_Depressor_R,Lip_Corner_Puller_L,Lip_Corner_Puller_R,Lip_Funneler_LB,Lip_Funneler_LT,Lip_Funneler_RB,Lip_Funneler_RT,Lip_Pressor_L,Lip_Pressor_R,Lip_Pucker_L,Lip_Pucker_R,Lip_Stretcher_L,Lip_Stretcher_R,Lip_Suck_LB,Lip_Suck_LT,Lip_Suck_RB,Lip_Suck_RT,Lip_Tightener_L,Lip_Tightener_R,Lips_Toward,Lower_Lip_Depressor_L,Lower_Lip_Depressor_R,Mouth_Left,Mouth_Right,Nose_Wrinkler_L,Nose_Wrinkler_R,Outer_Brow_Raiser_L,Outer_Brow_Raiser_R,Upper_Lid_Raiser_L,Upper_Lid_Raiser_R,Upper_Lip_Raiser_L,Upper_Lip_Raiser_R
0.4352,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.4498,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.4641,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.4784,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.4924,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.5062,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.5199,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.5337,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.5488,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.5629,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.5763,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.5886,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6024,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6173,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6307,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6464,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6595,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6729,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6866,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.6991,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.7146,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.7285,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.7429,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.7563,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.7695,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.7838,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
0.7969,0.000,0,1,0.2156,0.1975,0.0000,0.0000,0.2557,0.1853,0.0000,0.0000,0.0050,0.0549,0.0000,0.0000,0.0019,0.0141,0.1676,0.1793,0.0000,0.0000,0.1651,0.0772,0.0000,0.0000,0.0959,0.1065,0.0109,0.0000,0.0000,0.0000,0.7271,0.7282,0.0109,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0129,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0019,0.0000,0.2951,0.2856,0.0295,0.0256,0.0148,0.0000,0.2184,0.2304
